,mes,uf,febre
0,Setembro,RN,54
1,Setembro,AP,54
2,Setembro,PI,57
3,Setembro,AC,58
4,Setembro,RO,69
5,Setembro,TO,71
6,Setembro,MS,77
7,Setembro,SE,85
8,Setembro,RR,86
9,Setembro,ES,88
10,Setembro,DF,91
11,Setembro,PB,94
12,Setembro,BA,98
13,Setembro,PR,104
14,Setembro,AL,105
15,Setembro,PE,113
16,Setembro,AM,124
17,Setembro,CE,129
18,Setembro,RJ,136
19,Setembro,SC,141
20,Setembro,PA,150
21,Setembro,MT,153
22,Setembro,RS,153
23,Setembro,GO,162
24,Setembro,SP,173
25,Setembro,MG,215
26,Setembro,MA,244
27,Outubro,AP,14
28,Outubro,TO,40
29,Outubro,RN,44
30,Outubro,SE,48
31,Outubro,RR,51
32,Outubro,RO,52
33,Outubro,MS,59
34,Outubro,PB,60
35,Outubro,AL,62
36,Outubro,DF,64
37,Outubro,PI,70
38,Outubro,AC,73
39,Outubro,MT,83
40,Outubro,BA,85
41,Outubro,ES,96
42,Outubro,PR,103
43,Outubro,PE,114
44,Outubro,RS,132
45,Outubro,CE,134
46,Outubro,GO,141
47,Outubro,RJ,155
48,Outubro,AM,158
49,Outubro,SP,168
50,Outubro,PA,178
51,Outubro,SC,181
52,Outubro,MA,201
53,Outubro,MG,202
54,Novembro,TO,43
55,Novembro,RO,43
56,Novembro,SE,48
57,Novembro,AC,49
58,Novembro,DF,51
59,Novembro,AP,55
60,Novembro,PI,61
61,Novembro,AL,61
62,Novembro,RR,64
63,Novembro,PB,68
64,Novembro,RN,70
65,Novembro,MS,77
66,Novembro,CE,91
67,Novembro,MT,91
68,Novembro,AM,111
69,Novembro,BA,116
70,Novembro,GO,132
71,Novembro,ES,142
72,Novembro,PA,150
73,Novembro,PE,157
74,Novembro,PR,186
75,Novembro,RS,193
76,Novembro,RJ,202
77,Novembro,SC,210
78,Novembro,MA,220
79,Novembro,SP,223
80,Novembro,MG,254
